Chiến dịch,Chi phí Marketing,Doanh thu,ROAS
CVS,1279357535,3101689133.695652,2.4244115103411277
Search,35795496,93113652.17391305,2.6012672704385222
Discovery,34780716,82898043.47826087,2.383448445347154
PerMax,19415517,51266826.08695652,2.640507903392762
Guu-PerMax,18105669,45297434.782608695,2.5018371197777167
Guu-Discovery,12954388,39681347.82608695,3.0631588173896716
Mess,0,11917956.52173913,inf
Brand,43625420,11390217.391304348,0.2610912947383509
Guu-Search,2990274,3493000.0,1.1681203796040096
