Date,Forecasted_Revenue
2020-10-03,31787687.826086946
2020-10-04,28238157.391304325
2020-10-05,28847960.869565204
2020-10-06,30548493.913043477
2020-10-07,31140223.913043495
2020-10-08,30752119.130434774
2020-10-09,27736266.95652172
2020-10-10,26212020.434782602
2020-10-11,24322783.913043477
2020-10-12,22925254.7826087
2020-10-13,21369010.434782617
2020-10-14,21820002.60869566
2020-10-15,21603215.65217392
2020-10-16,21697451.304347835
2020-10-17,22145756.08695652
2020-10-18,23475826.521739125
2020-10-19,23164752.17391304
2020-10-20,21324048.695652176
2020-10-21,20470690.434782606
2020-10-22,19800158.260869566
2020-10-23,20006215.21739131
2020-10-24,19988829.56521739
2020-10-25,21277169.130434785
2020-10-26,19173930.86956521
2020-10-27,15616061.739130436
2020-10-28,14836666.521739127
2020-10-29,15183426.521739127
2020-10-30,15820689.130434785
2020-10-31,16786097.82608695
2020-11-01,22495030.869565193
